Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
Walmart,www.walmartstores.com,Industrial and Operations Engineering,"Full-time, Summer Internship",Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,1,"Tuesday, September 25th",No,"Walmart serves customers and members more than 200 million times per week. We serve them in the ways they want to be served - in retail outlets, online, and on mobile devices. Walmart operates under 69 different banners in 27 countries. With fiscal year 2012 sales of approximately $444 billion, Walmart employs 2.2 million associates worldwide.",,EECS
Weather Underground Inc.,www.wunderground.com,"Atmospheric, Oceanic, and Space Sciences, Computer Engineering, Computer Science","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,,2,"Monday, September 24th",Yes,"The world's first online weather service, Weather Underground is committed to delivering the most comprehensive, reliable weather information. Home to more than 21 million users and weather provider to partners such as Google, The Associated Press and CBS, the company's state-of-the-art technology monitors conditions and forecasts for locations across the world. In addition to serving free online weather information, Weather Underground delivers custom weather page solutions.",,EECS
Westinghouse Electric Company,www.westinghousenuclear.com,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship, Co-Op","Masters, Bachelors",Northeast,https://sjobs.brassring.com/EN/asp/tg/cim_home.asp?partnerid=11716&siteid=113,2,"Tuesday, September 25th",No,"Energize your career with Westinghouse Electric Company! Our commitment to safe, clean nuclear energy is second to none. As we recognize the 126th anniversary of Westinghouse Electric Company, we celebrate our rich heritage of technical innovation and commitment to ensuring our global customers' success. If you are interested in being a part of a company that values exceeding customer expectations and providing future generations around the globe with emission-free energy.",,BBB
WhaleShark Media,http://www.whalesharkmedia.com/,"Computer Engineering, Computer Science, Engineering Math/Physics","Full-time, Summer Internship","Masters, Bachelors",Southwest,http://www.whalesharkmedia.com/opportunities,1,"Tuesday, September 25th",No,"WhaleShark Media, Inc. is the world's leading marketplace for online coupons and deals, receiving more than 450 million visits to our sites per year. Our portfolio of coupon and deal websites includes www.RetailMeNot.com, the largest online coupon site in the U.S.; www.VoucherCodes.co.uk, the largest online coupon site in the UK; www.Deals.com in Germany; http://web.Bons-de-Reduction.com in France; www.Deals2Buy.com; www.CouponSeven.com; and www.CouponShare.com.",,DOW
Whirlpool Corporation,www.Whirlpoolcareers.com,"Aerospace Engineering, Chemical Engineering, Computer Science, Electrical Engineering, Environmental Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,www.whirlpoolcareers.com,2,"Monday, September 24th",No,"Whirlpool Corporation is a leader of the $120B Global Home Appliance Industry. Our appliances are marketed in nearly every country around the world. Whirlpool manufactures appliances across all major categories including fabric care, cooking, refrigeration, dishwashers, countertop appliances, garage organization, and water filtration.",,DOW
Williams International,www.williams-int.com,"Aerospace Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,www.williams-int.com,2,"Monday, September 24th",No,"Williams International is a world leader in the development, manufacture and support of small gas turbine engines. The privately owned company is headquartered in Walled Lake, Michigan. A second facility, located in Ogden, UT, is the most modern and efficient gas turbine design-to-production facility in the world. Williams continues to expand its development, test, production, product support and customer service capabilities at both facilities.",,GA
Wolverine Trading LLC,http://www.wolve.com,"Computer Engineering, Computer Science","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://www.wolve.com/html/careers.aspx,2,"Monday, September 24th",Yes,"Founded in 1994, Wolverine is a diversified financial institution specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. Wolverine is headquartered in Chicago.",X,PC
WorkForce Software,www.workforcesoftware.com,"Computer Engineering, Computer Science","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,http://www.workforcesoftware.com/about/careers/,2,"Monday, September 24th",Yes,"WorkForce Software, Inc. is the leader in workforce management solutions for large employers with complex policies and compliance concerns. Our EmpCenter solution enables strategic HR by automating and streamlining interactions between the employer and its workforce. By automating these interactions, our clients better manage payroll and processing costs, help ensure compliance with state and federal regulations, and increase the productivity and satisfaction of their employees.",X,EECS
X by 2,www.xby2.com,Computer Engineering,"Full-time, Summer Internship","Masters, Bachelors",Midwest,,1,"Monday, September 24th",No,X by 2 is a small consulting company which specializes in enterprise application architecture for the insurance industry. We are recognized as a top insurance and technology consulting firm. Our architecture advice is rooted in practice and not theory; we frequently lead/implement large scale enterprise applications.,,DOW
Yelp,http://www.yelp.com/,"Computer Science, Electrical Engineering, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate)","Full-time, Summer Internship, Co-Op","PhD, Bachelors","West Coast, Northeast",http://www.yelp.com/careers?country=US,1,"Monday, September 24th",Yes,"Yelp has been changing the nature of how people share local knowledge and find out about what's going on in their city and beyond since 2005. We're one part community, one part local city guide, with an opinion on everything from mechanics and martini bars to dentists and dining, and everything in between. Doesn't that sound like something you'd want to be involved in?",,BBB
YJT Solutions,yjtsolutions.com,"Computer Engineering, Computer Science","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://www.yjtsolutions.com/content/about/careers.html,1,"Monday, September 24th",Yes,YJT Solutions is a Chicago-based provider of IT consulting and managed services to companies in a variety of industries that depend on technology.,,PC
